KPMG,KPMG
MWC,MWC
5G,5G
4G,4G
B2B,B2B
B2C,B2C
COVID-19,COVID-19
US$,US$
5G+Edge,5G+Edge
4G+Cloud,4G+Cloud
edge computing,Edge Computing
4.3 trillion,"4,3 Billionen"
4.3 trillion upside,"4,3 Billionen Upside"
trillion,Billionen
billion,Milliarden
telcos,Telekommunikationsunternehmen
value chains,Wertschöpfungsketten
revenue models,Erlösmodelle
manufacturing,Fertigung
business challenges,geschäftliche Herausforderungen
economic recovery,wirtschaftliche Erholung
high bandwidth,hohe Bandbreite
time-sensitive,zeitkritisch
innovative value creation,innovative Wertschöpfung
independent firms,unabhängige Mitgliedsfirmen
affiliated,assoziiert
rights reserved,Rechte vorbehalten
enterprise value,Unternehmenswert
insight led,erkenntnisgesteuert
value drivers,Werttreiber
incremental economic value,inkrementeller wirtschaftlicher Wert
ecosystem,Ökosystem
findings,Ergebnisse
hypothesis,Hypothese
imperative,Notwendigkeit
centralized location,zentralisierter Standort
bandwidth devices,Bandbreitengeräte
innovative value,innovativer Wert
successful implementation,erfolgreiche Implementierung
US$4.3 trillion,"4,3 Billionen US-Dollar"
